"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-17","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"3.3",",,X","-1.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-18","16.5",",,X,2400","76.0",",,X,","0.0",",,X,",,,"1.7",",,X","-2.2",",,X",,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-19","9.1",",,X,2400","0.0",",,X,","51.0",",,X,",,,"6.1",",,X","0.6",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-20","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"7.2",",,X","0.0",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-21","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"4.4",",,X","-1.1",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-22","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.0",",,X","-2.2",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-23","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"7.8",",,X","0.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-24","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","0.6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-25","4.3",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"4.4",",,X","2.2",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X","    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-03-26","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"11.7",",,X","2.8",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
